file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\AnimalRace-master\src\StrategyPatternDemo.java,StrategyPatternDemo,main/1[java.lang.String[]],FALSE,4,3,4,0,4,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0,FALSE
C:\AnimalRace-master\src\Racer.java,Racer$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],FALSE,136,1,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setReadyForAdoption/1[java.lang.String],FALSE,77,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setBreed/1[java.lang.String],FALSE,69,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setMedicalCondition/1[java.lang.String],FALSE,85,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setNotes/1[java.lang.String],FALSE,93,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setId/1[int],FALSE,45,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,getBreed/0,FALSE,65,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setAge/1[double],FALSE,53,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,Bird/0,TRUE,16,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,getId/0,FALSE,41,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,getNotes/0,FALSE,89,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",TRUE,21,0,0,0,0,1,0,10,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,getReadyForAdoption/0,FALSE,73,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,getName/0,FALSE,33,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setName/1[java.lang.String],FALSE,37,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,getMedicalCondition/0,FALSE,81,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\AnimalRace-master\src\Bird.java,Bird,setType/1[java.lang.String],FALSE,61,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
