file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\blog_demos-master\grpc-tutorials\grpc-lib\src\generated\main\grpc\com\bolingcavalry\grpctutorials\lib\SimpleGrpc.java,com.bolingcavalry.grpctutorials.lib.SimpleGrpc$MethodHandlers,invoke/1[io.grpc.stub.StreamObserver<Resp>],FALSE,242,1,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,FALSE
C:\blog_demos-master\grpc-tutorials\grpc-lib\src\generated\main\grpc\com\bolingcavalry\grpctutorials\lib\SimpleGrpc.java,com.bolingcavalry.grpctutorials.lib.SimpleGrpc$MethodHandlers,"MethodHandlers/2[com.bolingcavalry.grpctutorials.lib.SimpleGrpc.SimpleImplBase,int]",TRUE,221,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,FALSE
C:\blog_demos-master\grpc-tutorials\grpc-lib\src\generated\main\grpc\com\bolingcavalry\grpctutorials\lib\SimpleGrpc.java,com.bolingcavalry.grpctutorials.lib.SimpleGrpc$MethodHandlers,"invoke/2[Req,io.grpc.stub.StreamObserver<Resp>]",FALSE,228,2,0,0,0,2,1,9,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0,FALSE
C:\blog_demos-master\junitpractice\advanced\src\test\java\com\bolingcavalry\advanced\service\impl\NestedTest.java,com.bolingcavalry.advanced.service.impl.NestedTest$FindService,findByIdTest/0,FALSE,23,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,FALSE
C:\blog_demos-master\junitpractice\advanced\src\test\java\com\bolingcavalry\advanced\service\impl\NestedTest.java,com.bolingcavalry.advanced.service.impl.NestedTest$FindService,findByNameTest/0,FALSE,25,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\support\DefaultListableBeanFactory.java,org.springframework.beans.factory.support.DefaultListableBeanFactory$DependencyProvider,"DependencyProvider/2[org.springframework.beans.factory.config.DependencyDescriptor,java.lang.String]",TRUE,1195,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\support\DefaultListableBeanFactory.java,org.springframework.beans.factory.support.DefaultListableBeanFactory$DependencyProvider,get/0,FALSE,1200,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\blog_demos-master\quarkus-tutorials\basic-di\src\main\java\com\bolingcavalry\interceptor\impl\HandleConstructionInterceptor.java,com.bolingcavalry.interceptor.impl.HandleConstructionInterceptor,execute/1[com.bolingcavalry.interceptor.impl.InvocationContext],FALSE,23,2,0,0,0,1,5,5,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,generateBeanName/1[org.springframework.beans.factory.config.BeanDefinition],FALSE,82,4,6,3,3,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,readDocumentFromString/1[java.lang.String],FALSE,92,5,4,0,4,2,2,9,1,1,1,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,19,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,"XmlReaderContext/6[org.springframework.beans.factory.xml.Resource,org.springframework.beans.factory.parsing.ProblemReporter,org.springframework.beans.factory.parsing.ReaderEventListener,org.springframework.beans.factory.parsing.SourceExtractor,org.springframework.beans.factory.xml.XmlBeanDefinitionReader,org.springframework.beans.factory.xml.NamespaceHandlerResolver]",TRUE,53,6,1,1,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,registerWithGeneratedName/1[org.springframework.beans.factory.config.BeanDefinition],FALSE,86,3,3,0,3,1,3,5,1,1,1,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,getReader/0,FALSE,61,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,FALSE
C:\blog_demos-master\springbeans_modify\src\main\java\org\springframework\beans\factory\xml\XmlReaderContext.java,org.springframework.beans.factory.xml.XmlReaderContext,getRegistry/0,FALSE,65,2,7,6,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,FALSE
